MEASURE POINT;JEAR;MONTH;TIME_FROM;TIME_TO;MEASURED VALUE
7;2008;January;20080103;20080201;43
7;2008;February;20080201;20080229;58
7;2008;March;20080229;20080401;46
7;2008;April;20080401;20080430;58
7;2008;May;20080430;20080530;58
7;2008;June;20080530;20080701;46
7;2008;July;20080701;20080801;49
7;2008;August;20080801;20080902;46
7;2008;September;20080902;20081001;53
7;2008;October;20081001;20081104;54
7;2008;November;20081104;20081203;53
7;2008;December;20081203;20090104;54
7;2009;January;20090105;20090130;72
7;2009;February;20090130;20090228;57
7;2009;March;20090228;20090401;55
7;2009;April;20090401;20090501;55
7;2009;May;20090501;20090601;44
7;2009;June;20090601;20090629;45
7;2009;July;20090629;20090731;46
7;2009;August;20090731;20090831;49
7;2009;September;20090831;20090930;48
7;2009;October;20090930;20091031;54
7;2009;November;20091031;20091202;49
7;2009;December;20091202;20091229;50
7;2010;January;20091229;20100201;53
7;2010;February;20100201;20100303;51
7;2010;March;20100303;20100331;56
7;2010;April;20100331;20100430;48
7;2010;May;20100430;20100602;39
7;2010;June;20100602;20100630;40
7;2010;July;20100630;20100803;45
7;2010;August;20100803;20100901;42
7;2010;September;20100901;20101001;49
7;2010;October;20101001;20101102;48
7;2010;November;20101102;20101129;50
7;2010;December;20101129;20101230;60
7;2011;January;20101230;20110201;53
7;2011;February;20110201;20110301;47
7;2011;March;20110301;20110330;47
7;2011;April;20110330;20110429;52
7;2011;May;20110429;20110531;45
7;2011;June;20110531;20110630;40
7;2011;July;20110630;20110801;40
7;2011;August;20110801;20110901;41
7;2011;September;20110901;20110929;41
7;2011;October;20110929;20111102;49
7;2011;November;20111102;20111130;48
7;2011;December;20111130;20111229;36
7;2012;January;20111229;20120201;39
7;2012;February;20120201;20120301;49
7;2012;March;20120301;20120330;50
7;2012;April;20120330;20120503;43
7;2012;May;20120503;20120601;41
7;2012;June;20120601;20120703;37
7;2012;July;20120703;20120801;44
7;2012;August;20120801;20120831;57
7;2012;September;20120831;20121001;49
7;2012;October;20121001;20121102;49
7;2012;November;20121102;20121130;48
7;2012;December;20121130;20121228;46
7;2013;January;20121228;20130201;44
7;2013;February;20130201;20130301;44
7;2013;March;20130301;20130402;50
7;2013;April;20130402;20130502;39
7;2013;May;20130502;20130531;36
7;2013;June;20130531;20130702;38
7;2013;July;20130702;20130802;46
7;2013;August;20130802;20130830;46
7;2013;September;20130830;20131001;41
7;2013;October;20131001;20131031;40
7;2013;November;20131031;20131129;45
7;2013;December;20131129;20131231;39
7;2014;January;20131231;20140130;38
7;2014;February;20140130;20140228;40
7;2014;March;20140228;20140331;49
7;2014;April;20140331;20140501;44
7;2014;May;20140501;20140602;40
7;2014;June;20140602;20140702;33
7;2014;July;20140702;20140731;39
7;2014;August;20140731;20140829;31
7;2014;September;20140829;20140930;40
7;2014;October;20140930;20141031;43
7;2014;November;20141031;20141128;46
7;2014;December;20141128;20141230;47
7;2015;January;20141230;20150130;46
7;2015;February;20150130;20150302;43
7;2015;March;20150302;20150331;44
7;2015;April;20150331;20150430;39
7;2015;May;20150430;20150601;36
7;2015;June;20150601;20150629;33
7;2015;July;20150629;20150731;30
7;2015;August;20150731;20150902;42
7;2015;September;20150902;20150930;34
7;2015;October;20150930;20151029;44
7;2015;November;20151029;20151202;39
7;2015;December;20151202;20151230;44
7;2016;January;20151230;20160201;41
7;2016;February;20160201;20160301;42
7;2016;March;20160301;20160331;49
7;2016;April;20160331;20160428;41
7;2016;May;20160428;20160530;37
7;2016;June;20160530;20160629;37
7;2016;July;20160629;20160729;32
7;2016;August;20160729;20160830;37
7;2016;September;20160830;20160929;47
7;2016;October;20160929;20161031;37
7;2016;November;20161031;20161129;41
7;2016;December;20161129;20161230;49
7;2017;January;20161230;20170131;52
7;2017;February;20170131;20170302;45
7;2017;March;20170302;20170330;41
7;2017;April;20170330;20170502;37
7;2017;May;20170502;20170601;41
7;2017;June;20170601;20170629;34
7;2017;July;20170629;20170731;26
7;2017;August;20170731;20170830;39
7;2017;September;20170830;20170929;35
7;2017;October;20170929;20171030;29
7;2017;November;20171030;20171129;42
7;2017;December;20171129;20171229;41
7;2018;January;20171229;20180129;33
7;2018;February;20180129;20180228;40
7;2018;March;20180228;20180329;36
7;2018;April;20180329;20180427;34
7;2018;May;20180427;20180529;35
7;2018;June;20180529;20180629;31
7;2018;July;20180629;20180730;35
7;2018;August;20180730;20180831;33
7;2018;September;20180831;20181002;41
7;2018;October;20181002;20181101;36
7;2018;November;20181101;20181201;35
7;2018;December;20181201;20190102;32
7;2019;January;20190102;20190131;40
7;2019;February;20190131;20190301;45
7;2019;March;20190301;20190330;30
7;2019;April;20190330;20190429;34
7;2019;May;20190429;20190531;31
7;2019;June;20190531;20190701;28
7;2019;July;20190701;20190801;31
7;2019;August;20190801;20190830;36
7;2019;September;20190830;20190928;31
7;2019;October;20190928;20191029;28
7;2019;November;20191029;20191129;35
7;2019;December;20191129;20191227;32
7;2020;January;20191230;20200131;30
7;2020;February;20200131;20200303;29
7;2020;March;20200303;20200329;26
7;2020;April;20200329;20200502;25
7;2020;May;20200502;20200531;22
7;2020;June;20200531;20200705;24
7;2020;July;20200705;20200802;22
7;2020;August;20200802;20200906;27
7;2020;September;20200906;20201003;29
7;2020;October;20201003;20201101;24
7;2020;November;20201101;20201128;28
7;2020;December;20201128;20210103;26
7;2021;January;20210104;20210202;28
7;2021;February;20210202;20210302;32
7;2021;March;20210302;20210330;31
7;2021;April;20210331;20210430;25
7;2021;May;20210501;20210531;23
7;2021;June;20210601;20210629;22
7;2021;July;20210630;20210729;21
7;2021;August;20210730;20210827;21
7;2021;September;20210828;20210928;25
7;2021;October;20210929;20211027;29
7;2021;November;20211028;20211127;34
7;2021;December;20211128;20211229;31
7;2022;January;20211229;20220129;27
7;2022;February;20220129;20220302;29
7;2022;March;20220302;20220331;36
7;2022;April;20220331;20220502;28
7;2022;May;20220502;20220601;26
7;2022;June;20220601;20220702;27
